k,method1_sequential_ms,method2_pairwise_ms
2,0.0000,0.0000
4,0.0000,0.0000
8,0.0000,0.0000
16,0.0000,0.0000
32,2.0000,0.0000
64,0.0000,0.0000
128,5.0000,2.0000
256,15.0000,0.0000
512,49.0000,6.0000
