n,mergesort_2way_ms,mergesort_3way_ms
1000,1.0000,0.0000
5000,1.0000,1.0000
10000,3.0000,0.0000
20000,7.0000,5.0000
40000,5.0000,11.0000
60000,10.0000,14.0000
80000,13.0000,31.0000
100000,31.0000,16.0000
150000,29.0000,27.0000
200000,40.0000,42.0000
300000,61.0000,65.0000
